genres,acousticness,energy,danceability,tempo,valence,speechiness,liveness,instrumentalness
electro house,0.00203,0.792,0.731,127.975,0.272,0.0459,0.0618,0.000538
progressive electro house,0.00203,0.792,0.731,127.975,0.272,0.0459,0.0618,0.000538
electro house,0.00346,0.834,0.711,128.012,0.184,0.0769,0.148,0.00488
progressive electro house,0.00346,0.834,0.711,128.012,0.184,0.0769,0.148,0.00488
electro house,0.000947,0.53,0.628,130.001,0.231,0.117,0.0994,0
progressive electro house,0.000947,0.53,0.628,130.001,0.231,0.117,0.0994,0
electro house,4.76e-05,0.903,0.575,127.005,0.164,0.0398,0.362,0.908
progressive electro house,4.76e-05,0.903,0.575,127.005,0.164,0.0398,0.362,0.908
electro house,0.00534,0.965,0.517,139.973,0.0868,0.0541,0.104,0.00958
progressive electro house,0.00534,0.965,0.517,139.973,0.0868,0.0541,0.104,0.00958
electro house,0.000772,0.941,0.63,126.007,0.458,0.0496,0.297,0.612
progressive electro house,0.000772,0.941,0.63,126.007,0.458,0.0496,0.297,0.612
electro house,0.00552,0.995,0.852,128.008,0.0611,0.304,0.259,0.602
progressive electro house,0.00552,0.995,0.852,128.008,0.0611,0.304,0.259,0.602
electro house,0.000203,0.565,0.683,127.993,0.283,0.0675,0.0556,0.768
progressive electro house,0.000203,0.565,0.683,127.993,0.283,0.0675,0.0556,0.768
electro house,0.00279,0.587,0.646,125.979,0.0508,0.0336,0.384,0.183
progressive electro house,0.00279,0.587,0.646,125.979,0.0508,0.0336,0.384,0.183
electro house,0.000504,0.878,0.894,124.994,0.64,0.0621,0.195,0.87
progressive electro house,0.000504,0.878,0.894,124.994,0.64,0.0621,0.195,0.87
electro house,0.00305,0.907,0.775,127.968,0.196,0.109,0.383,0.885
